student_id,name,gender,branch,semester,career_goal,primary_interest,learning_style,family_income,part_time_job,cgpa,prev_semester_cgpa,attendance_percent,study_hours_per_day,sleep_hours_per_day,stress_level,library_visits_per_week,backlogs,internships_completed,projects_completed,certifications,hackathons_participated,extracurricular_activities,performance_label,recommended_courses,programming_score,math_score,circuits_score,mechanics_score,design_score,communication_score,critical_thinking_score
ENG20220000,Dev Mehta,Male,Mechanical,5,Manufacturing Engineer,Simulation,Visual,3–6 LPA,0,5.16,5.28,75,5.0,8.5,1,0,4,0,1,1,0,1,Below Average,Fluid Mechanics|CAD/CAM|Thermodynamics|Python Programming for Engineers|Advanced Engineering Mathematics|Technical Communication & Presentation Skills,23,43,21,44,48,44,63
ENG20230001,Aparna Patel,Female,Biomedical,6,Neural Engineer,Neural Engineering,Reading/Writing,3–6 LPA,0,6.42,6.74,70,6.1,5.7,3,1,0,1,1,0,3,2,Average,Medical Imaging|Drug Discovery ML|Biomechanics|Industrial Internship & Project Management,49,67,48,36,33,47,62
ENG20230002,Aarav Rajan,Male,Computer Science,7,Software Engineer,Cloud Computing,Auditory,10–20 LPA,0,6.7,6.62,66,6.9,7.3,5,0,1,0,2,2,1,0,Average,Machine Learning|Data Structures & Algorithms|Operating Systems|Industrial Internship & Project Management,53,64,28,29,41,61,50
ENG20220003,Uday Chaudhary,Male,Civil,5,Structural Engineer,Structural Design,Kinesthetic,6–10 LPA,0,5.6,4.99,71,3.7,7.8,4,5,0,0,0,0,0,2,Below Average,Construction Management|BIM|Environmental Engineering|Python Programming for Engineers|Academic Skill Development Workshop,11,51,19,57,58,45,45
ENG20200004,Mohit Ahuja,Male,Mechanical,1,Robotics Engineer,Robotics,Visual,> 20 LPA,0,6.1,6.1,78,4.0,7.3,2,3,0,2,1,2,0,1,Average,Fluid Mechanics|CAD/CAM|Manufacturing Processes|Robotics & Automation|Finite Element Analysis|Python Programming for Engineers,33,67,22,58,56,39,38
ENG20230005,Payal Chaudhary,Female,Computer Science,7,Software Engineer,Cloud Computing,Kinesthetic,< 3 LPA,0,6.95,6.59,92,5.7,7.4,3,5,1,1,1,1,1,2,Average,Machine Learning|Database Management|Cloud Computing|Industrial Internship & Project Management,78,52,36,36,40,61,63
ENG20200006,Raj Menon,Male,Electrical,1,EV Engineer,Renewable Energy,Auditory,6–10 LPA,0,6.13,6.13,89,6.9,6.5,4,0,2,1,1,0,1,0,Below Average,Power Systems|Power Electronics|Renewable Energy Systems,48,60,62,32,27,53,58
ENG20230007,Aditya Pillai,Other,Computer Science,7,AI Researcher,AI/ML,Visual,6–10 LPA,0,6.5,5.94,63,3.2,7.3,3,0,0,1,0,0,0,0,Average,Machine Learning|Cloud Computing|Data Structures & Algorithms|NLP|Deep Learning|Industrial Internship & Project Management,52,66,22,28,52,45,57
ENG20220008,Siddharth Srivastava,Male,Computer Science,5,DevOps Engineer,Cloud Computing,Visual,6–10 LPA,0,7.42,7.73,89,8.5,6.8,3,0,2,3,3,2,0,0,Average,Cybersecurity|Operating Systems|Data Structures & Algorithms|Cloud Computing|DevOps|Microservices Architecture,69,57,52,31,51,59,79
ENG20220009,Siddharth Bose,Male,Computer Science,5,DevOps Engineer,Cybersecurity,Reading/Writing,6–10 LPA,0,5.62,6.25,77,3.5,4.0,2,0,0,0,2,1,2,1,Average,Database Management|Machine Learning|Operating Systems|Cloud Computing|DevOps|Microservices Architecture,58,57,31,17,24,49,55
